,dataset,model,size,dropout,opt,lr,accuracy,f1_weighted
291,all_bn,vggish,512,0.2,adamax,0.0001,0.5218302479916171,0.516639003950929
292,all_bn,vggish,512,0.5,adamax,0.0001,0.5232273838630807,0.5184058565498584
293,all_bn,vggish,1024,0.5,adamax,0.001,0.49318896262661543,0.47827048188363785
294,all_bn,vggish,1024,0.0,adam,0.001,0.5144952846664338,0.5119648399969419
295,all_bn,vggish,1024,0.5,adam,0.0001,0.5089067411805798,0.5037903708438304
296,all_bn,vggish,1024,0.5,adam,0.001,0.5068110373733845,0.5036981675596965
297,all_bn,vggish,1024,0.2,adamax,0.001,0.5064617534055187,0.4943643237257866
298,all_bn,vggish,1024,0.0,adamax,1e-05,0.511002444987775,0.507046545082839
299,all_bn,vggish,1024,0.0,adam,0.0001,0.5043660495983234,0.5030809496073725
300,all_bn,vggish,512,0.5,adamax,0.0001,0.5256723716381418,0.5240639007746805
301,all_bn,vggish,1024,0.0,adamax,1e-05,0.5029689137268599,0.4980866290469371
302,all_bn,vggish,512,0.2,adamax,1e-05,0.5068110373733845,0.5012851989523873
303,all_bn,vggish,1024,0.2,adamax,0.0001,0.5277680754453371,0.5273324780175814
304,all_bn,vggish,2048,0.0,adam,0.001,0.4767726161369193,0.47809614397547495
305,all_bn,vggish,2048,0.2,adamax,0.001,0.5120502968913727,0.5079243634397722
306,all_bn,vggish,512,0.0,adamax,0.001,0.5043660495983234,0.49306351266041953
307,all_bn,vggish,512,0.0,adam,0.0001,0.5235766678309466,0.5082174572270893
308,all_bn,vggish,2048,0.5,adamax,0.0001,0.5120502968913727,0.5089952201951556
309,all_bn,vggish,512,0.5,adam,1e-05,0.5235766678309466,0.5184633708663601
310,all_bn,yamnet,2048,0.2,adam,0.001,0.3893704850361197,0.3692450752645441
311,all_bn,yamnet,4096,0.0,adam,0.0001,0.38710010319917443,0.36566190070295573
312,all_bn,yamnet,4096,0.5,adam,1e-05,0.38864809081527346,0.38468284741369946
313,all_bn,yamnet,4096,0.5,adamax,0.001,0.3942208462332301,0.38519804036480493
314,all_bn,yamnet,4096,0.2,adamax,0.0001,0.3847265221878225,0.3785138275824495
315,all_bn,yamnet,4096,0.2,adamax,0.0001,0.3991744066047472,0.38962806347388224
316,all_bn,yamnet,2048,0.2,adamax,0.001,0.3931888544891641,0.3818697766752096
317,all_bn,yamnet,2048,0.2,adam,1e-05,0.39040247678018575,0.3710484279741658
318,all_bn,yamnet,2048,0.0,adamax,1e-05,0.3953560371517028,0.3856990707420449
319,all_bn,yamnet,4096,0.2,adam,0.0001,0.3914344685242518,0.37252008855603586
320,all_bn,yamnet,2048,0.5,adam,0.001,0.3934984520123839,0.37364085978658973
321,all_bn,yamnet,2048,0.5,adamax,0.0001,0.3863777089783282,0.3864222379538938
